[2025-07-21 15:33:39] - Event: Smoke | Confidence: 51.14% | Video: test1.mp4
[2025-07-21 15:33:39] - Event: Smoke | Confidence: 51.19% | Video: test1.mp4
[2025-07-21 15:33:39] - Event: Smoke | Confidence: 51.00% | Video: test1.mp4
[2025-07-21 15:33:39] - Event: Smoke | Confidence: 50.60% | Video: test1.mp4
[2025-07-21 15:33:39] - Event: Smoke | Confidence: 50.09% | Video: test1.mp4
[2025-07-21 15:33:39] - Event: Smoke | Confidence: 50.02% | Video: test1.mp4
[2025-07-21 15:33:40] - Event: Smoke | Confidence: 50.42% | Video: test1.mp4
[2025-07-21 15:33:40] - Event: Smoke | Confidence: 50.45% | Video: test1.mp4
[2025-07-21 15:33:40] - Event: Smoke | Confidence: 50.49% | Video: test1.mp4
[2025-07-21 15:33:40] - Event: Smoke | Confidence: 50.95% | Video: test1.mp4
[2025-07-21 15:33:40] - Event: Smoke | Confidence: 50.34% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 50.07% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 53.15% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 52.18% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 52.00% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 51.86% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 56.45% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 56.50% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 56.63% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 54.64% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 54.58% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 55.22% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 52.04% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 51.45% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 51.58% | Video: test1.mp4
[2025-07-21 15:33:41] - Event: Smoke | Confidence: 51.90% | Video: test1.mp4
